Sample ID,BeadChip Barcode,Sentrix Position,Plate Number,Well Position,Collected Gender
7846389,206680910027,R03C01,Plate_10,C02,Male
7846413,206680910027,R04C01,Plate_10,D02,Female
7846447,206680910027,R05C01,Plate_10,E02,Male
7846470,206680910027,R06C01,Plate_10,F02,Female
7846504,206680910027,R07C01,Plate_10,G02,Male
7846538,206680910027,R08C01,Plate_10,H02,Female
7846561,206680910037,R01C01,Plate_10,A03,Female
7841075,206680910037,R02C01,Plate_10,B03,Male
7841109,206680910037,R03C01,Plate_10,C03,Female
7841133,206680910037,R04C01,Plate_10,D03,Male
7841166,206680910037,R05C01,Plate_10,E03,Female
7841190,206680910037,R06C01,Plate_10,F03,Male
7841224,206680910037,R07C01,Plate_10,G03,Male
7841315,206680910037,R08C01,Plate_10,H03,Female
7841349,206680910047,R01C01,Plate_10,A04,Male
7841372,206680910047,R02C01,Plate_10,B04,Female
7841406,206680910047,R03C01,Plate_10,C04,Male
7841430,206680910047,R04C01,Plate_10,D04,Male
7847072,206680910047,R05C01,Plate_10,E04,Male
7847106,206680910047,R06C01,Plate_10,F04,Male
7847130,206680910047,R07C01,Plate_10,G04,Male
7847163,206680910047,R08C01,Plate_10,H04,Male
7847197,206680910070,R01C01,Plate_10,A05,Male
7847221,206680910070,R02C01,Plate_10,B05,Female
7847254,206680910070,R03C01,Plate_10,C05,Male
7847288,206680910070,R04C01,Plate_10,D05,Male
7841463,206680910070,R05C01,Plate_10,E05,Male
7841497,206680910070,R06C01,Plate_10,F05,Male
7841521,206680910070,R07C01,Plate_10,G05,Male
7842032,206680910070,R08C01,Plate_10,H05,Male
7842065,206680910097,R01C01,Plate_10,A06,Female
7842099,206680910097,R02C01,Plate_10,B06,Male
7842123,206680910097,R03C01,Plate_10,C06,Male
7842156,206680910097,R04C01,Plate_10,D06,Male
7844913,206680910097,R05C01,Plate_10,E06,Male
7844947,206680910097,R06C01,Plate_10,F06,Female
7844970,206680910097,R07C01,Plate_10,G06,Male
7845001,206680910097,R08C01,Plate_10,H06,Male
7845035,206680900133,R01C01,Plate_10,A07,Female
7845068,206680900133,R02C01,Plate_10,B07,Male
7845092,206680900133,R03C01,Plate_10,C07,Male
7845126,206680900133,R04C01,Plate_10,D07,Male
7840986,206680900133,R05C01,Plate_10,E07,Female
7841018,206680900133,R06C01,Plate_10,F07,Male
7842180,206680900133,R07C01,Plate_10,G07,Female
7842214,206680900133,R08C01,Plate_10,H07,Male
7842248,206680900170,R01C01,Plate_10,A08,Female
7842990,206680900170,R02C01,Plate_10,B08,Male
7843022,206680900170,R03C01,Plate_10,C08,Male
7843055,206680900170,R04C01,Plate_10,D08,Male
7843089,206680900170,R05C01,Plate_10,E08,Female
7843113,206680900170,R06C01,Plate_10,F08,Male
7845639,206680900170,R07C01,Plate_10,G08,Male
7845662,206680900170,R08C01,Plate_10,H08,Male
7845696,206680900045,R01C01,Plate_10,A09,Male
7845720,206680900045,R02C01,Plate_10,B09,Male
7845753,206680900045,R03C01,Plate_10,C09,Male
7845787,206680900045,R04C01,Plate_10,D09,Male
7841794,206680900045,R05C01,Plate_10,E09,Female
7841828,206680900045,R06C01,Plate_10,F09,Male
7841851,206680900045,R07C01,Plate_10,G09,Female
7841885,206680900045,R08C01,Plate_10,H09,Female
7843170,206680900094,R01C01,Plate_10,A10,Male
7843204,206680900094,R02C01,Plate_10,B10,Female
7843477,206680900094,R03C01,Plate_10,C10,Male
7843501,206680900094,R04C01,Plate_10,D10,Female
7843535,206680900094,R05C01,Plate_10,E10,Male
7843568,206680900094,R06C01,Plate_10,F10,Male
7843592,206680900094,R07C01,Plate_10,G10,Female
7843626,206680900094,R08C01,Plate_10,H10,Female
7843659,206680900121,R01C01,Plate_10,A11,Male
7843683,206680900121,R02C01,Plate_10,B11,Female
7843717,206680900121,R03C01,Plate_10,C11,Male
7843741,206680900121,R04C01,Plate_10,D11,Female
7843774,206680900121,R05C01,Plate_10,E11,Male
7843808,206680900121,R06C01,Plate_10,F11,Female
7843832,206680900121,R07C01,Plate_10,G11,Male
7843865,206680900121,R08C01,Plate_10,H11,Female
7845811,206680900122,R01C01,Plate_10,A12,Female
7845845,206680900122,R02C01,Plate_10,B12,Male
7847791,206680900122,R03C01,Plate_10,C12,Female
7847825,206680900122,R04C01,Plate_10,D12,Male
7847858,206680900122,R05C01,Plate_10,E12,Female
7847882,206680900122,R06C01,Plate_10,F12,Female
7847916,206680900122,R07C01,Plate_10,G12,Male
7847940,206680900122,R08C01,Plate_10,H12,Female
7847973,206680900130,R01C01,Plate_11,A01,Male
7848005,206680900130,R02C01,Plate_11,B01,Male
7842511,206680900130,R03C01,Plate_11,C01,Male
7842545,206680900130,R04C01,Plate_11,D01,Male
7842578,206680900130,R05C01,Plate_11,E01,Female
7843899,206680900130,R06C01,Plate_11,F01,Female
7843923,206680900130,R07C01,Plate_11,G01,Female
7844434,206680900130,R08C01,Plate_11,H01,Male
7844467,206680900131,R01C01,Plate_11,A02,Male
7841257,206680900131,R02C01,Plate_11,B02,Male
7842602,206680900131,R03C01,Plate_11,C02,Male
7842636,206680900131,R04C01,Plate_11,D02,Female
7842669,206680900131,R05C01,Plate_11,E02,Female
7842693,206680900131,R06C01,Plate_11,F02,Male
7844491,206680900131,R07C01,Plate_11,G02,Female
7842727,206680900131,R08C01,Plate_11,H02,Female
7840598,206680900132,R01C01,Plate_11,A03,Female
7840622,206680900132,R02C01,Plate_11,B03,Male
7840655,206680900132,R03C01,Plate_11,C03,Female
7840689,206680900132,R04C01,Plate_11,D03,Male
7840713,206680900132,R05C01,Plate_11,E03,Male
7840747,206680900132,R06C01,Plate_11,F03,Male
7841281,206680900132,R07C01,Plate_11,G03,Female
7844525,206680900132,R08C01,Plate_11,H03,Male
7844558,206680900134,R01C01,Plate_11,A04,Male
7830391,206680900134,R02C01,Plate_11,B04,Female
7830425,206680900134,R03C01,Plate_11,C04,Male
7830458,206680900134,R04C01,Plate_11,D04,Male
7844582,206680900134,R05C01,Plate_11,E04,Male
7844616,206680900134,R06C01,Plate_11,F04,Male
7847312,206680900134,R07C01,Plate_11,G04,Male
7847346,206680900134,R08C01,Plate_11,H04,Male
7847379,206680900006,R01C01,Plate_11,A05,Male
7804420,206680900006,R02C01,Plate_11,B05,Male
7804453,206680900006,R03C01,Plate_11,C05,Male
